N,rolling_fraction,fixed_speed_rad_per_s,floquet_multiplier
6,0.44947872270670775,1.1398672832394574,0.2500000000000001
7,0.6924791816930037,1.4666713236790874,0.3887395330218429
8,0.8433545341289096,1.7272282958249288,0.5000000000000001
9,0.9051865451445806,1.9459972666500223,0.5868240888334652
10,0.9525932725722903,2.1362892502281614,0.6545084971874737
11,0.9729198085371451,2.3060382260494148,0.7077075065009433
12,0.9864926890039998,2.4603033414017412,0.7500000000000001
